feature,eta_squared,kruskal_wallis_statistic,kruskal_wallis_p_value,cluster_mean_range,cluster_median_range,kruskal_wallis_p_value_bh
mean_intensity_iqr,0.04551805322401811,129.43586286041423,7.822750872061639e-29,0.7267651838813284,0.6223958333333334,1.3768041534828486e-28
season_autumn,0.04007235524788739,103.26645947381506,3.766805903716845e-23,0.5544997721152398,0.0,5.715153784949696e-23
roi_h_std,0.03321809643018677,150.2365136033669,2.3798828579422298e-33,0.4484554712716896,0.79825521129954,4.552819380411223e-33
circular_variance,0.03051273442664464,124.19334815443099,1.0758633264282186e-27,0.34677508848851757,0.6539023926110115,1.8206917831862158e-27
roi_lab_b_mean,0.026524698315459373,88.98600831234114,4.7526278835584005e-20,0.42991018759596,0.3378982658592386,6.970520895885655e-20
roi_h_mean,0.02615341322508691,48.15597702368246,3.491905274205589e-11,0.24613099542553815,0.7482085824819588,4.389823773287026e-11
total,0.022862404402119955,62.68541243801643,2.443631085514215e-14,0.5336649123461858,0.5,3.4683796052459826e-14
aspect_ratio_median,0.020387970069092497,59.36021732691594,1.2885242167531417e-13,0.35545055111255464,0.2689320087745905,1.718032289004189e-13
parking,0.020281577777629404,44.48095718327453,2.1932234098053559e-10,0.4351958991203514,0.0,2.6806063897621015e-10
capture_month_sin,0.01973923652762687,20.407195631359297,3.7036827011959114e-05,0.37520334064881694,0.0,4.2884747066478976e-05
season_winter,0.01639094809137053,42.239473231459534,6.726899332323132e-10,0.3803098313780625,0.0,7.999555962762643e-10
transit,0.01500072783438834,61.758411289416,3.8844665227475225e-14,0.5675226755253631,1.0,5.3411414687778434e-14
gas_station,0.014916589355891362,49.716289867855856,1.600460001730168e-11,0.22693720982770624,0.0,2.0711835316508055e-11
park,0.005663482479775089,13.03097494096171,0.0014803341043791037,0.22855772207936764,0.0,0.001514760478899548
place_diversity_entropy,0.005559412879266881,14.343425883340235,0.0007680060542803634,0.12305757819158174,0.0,0.0008045777711508569
industrial,0.0031453770463111086,8.287881721836207,0.01586022524305671,0.13969595759420445,0.0,0.01586022524305671
roi_lab_a_mean,0.00255145085652259,15.106130407819242,0.0005244999613015005,0.13266333527053242,0.19477126789428156,0.0005628780072503908
green_vs_traffic_ratio_500m,0.0024101366925986796,15.837894835314682,0.0003637850387499438,0.16724259541797026,0.0,0.0004104241462819878
roi_s_mean,0.0002527918247132827,15.242337991044614,0.0004899687249534072,0.041740710725827024,0.13977725073517644,0.000538965597448748
solidity_p90,0.0,,,0.0,0.0,
season_summer,0.0,,,0.0,0.0,
