feature,eta_squared,kruskal_wallis_statistic,kruskal_wallis_p_value,cluster_mean_range,cluster_median_range,kruskal_wallis_p_value_bh
mean_intensity_median,0.21550246061472192,447.63898697676393,1.0587660528786229e-96,0.7319335513155147,1.0359709955731957,2.8026160223257663e-96
roi_v_std,0.21145635741385885,226.0526207843948,9.868486298743327e-49,1.8182308831312959,1.872253205674099,2.018554015652044e-48
circularity_p90,0.12786837821063024,279.14000102290817,3.2502561820562525e-60,0.8725362042277601,0.0,7.697975168027966e-60
mean_intensity_iqr,0.12454790646039599,219.53436113238433,2.5314853034223334e-47,1.1329677631273536,1.3579724111734044,4.746534943916875e-47
aspect_ratio_p90,0.11525553359113078,241.80856848626985,3.867207138391584e-52,0.8076157039040778,1.161700900650635,8.286872439410536e-52
roi_s_std,0.11149255457775392,120.71198799286275,5.421184888991589e-26,1.3729084160623433,1.3297321943757945,9.382820000177749e-26
particle_mask_mean_rgb_contrast,0.1070001893192611,266.22798444649254,2.0207697019994083e-57,0.6514792584801349,0.7488784250953093,4.5467318294986686e-57
solidity_median,0.09212052579416878,221.59760790344325,9.064840666785581e-48,0.9033146742274069,0.0,1.7735557826319617e-47
season_autumn,0.07879492568814023,163.18429110014426,3.7661532603199734e-35,0.8546877461351172,0.0,6.779075868575951e-35
roi_v_mean,0.058370490554238416,116.73595797487192,3.8933625109573937e-25,0.6865335710892064,0.7103238903154261,6.488937518262323e-25
roi_lab_l_mean,0.05652518484908306,108.77870097464032,2.0098146788182922e-23,0.6585424805975992,0.7808926425167853,3.230059305243684e-23
roi_lab_a_std,0.04861861782525239,83.93532020775966,4.392117471947473e-18,1.109396814403156,0.7414590519484894,6.815354697849527e-18
capture_month_sin,0.04651366169568375,41.71615574571881,4.608970192225379e-09,0.7197893024874212,0.0,6.100107607357119e-09
roi_lab_b_std,0.046109767947011625,55.40223027758359,5.635068314685214e-12,0.949635752778966,0.6276268729196308,8.45260247202782e-12
roi_h_mean,0.026041770980691478,42.58604587701033,3.0129525372247075e-09,0.2856996677726205,0.7319924455282291,4.108571641670056e-09
roi_lab_b_mean,0.018265215599453443,54.571712199218844,8.473782535555481e-12,0.3436900588091316,0.37178228690114995,1.2300652067741829e-11
place_diversity_entropy,0.0174640417070551,34.64867606748097,1.44527592635704e-07,0.18464756069472074,0.0,1.8582119053161946e-07
roi_s_mean,0.011196462000549108,13.879065768798819,0.0030744729247683083,0.25316153148251286,0.22164709337837507,0.003374421502794485
transit,0.00907418912628987,24.243215530541697,2.2223154931465054e-05,0.40884119603527874,0.0,2.777894366433132e-05
parking,0.008788357560892801,21.866966122753816,6.952355359244748e-05,0.21246663760194806,0.0,8.45556732881118e-05
total,0.008334083930942033,18.150854751839752,0.0004094355223536002,0.26351268103666015,0.5,0.00048485785541873703
roi_h_std,0.008002359349525047,45.06968203829557,8.942507146579654e-10,0.3524047080865663,0.5580043369254674,1.2575400674877639e-09
season_winter,0.007772027321998548,16.095868583855967,0.00108380002955262,0.19122432018542013,0.0,0.0012505384956376384
industrial,0.006239076914913398,13.5405618023422,0.0036021658390107156,0.3259589290779084,0.0,0.0038581275480521733
green_vs_traffic_ratio_500m,0.005814013417700956,13.490974102458425,0.0036866552125831877,0.19026005937967333,0.0,0.0038581275480521733
park,0.005174542749810691,12.092343459433511,0.007073433066288309,0.18033465095987256,0.0,0.007234192908703952
roi_lab_a_mean,0.005004722580095463,14.083035758375486,0.0027942781974260077,0.2665722646048124,0.2105601875851819,0.0031435629721042586
gas_station,0.0013426118542234926,6.531787513813563,0.08841727754764464,0.08535899260337898,0.0,0.08841727754764464
season_summer,0.0,,,0.0,0.0,
