variable,cluster_label,count,mean,median,std,iqr
official_pm10_minus_record_pm10,1,446,-6.556441418732114,1.0418969066149728,26.949062672813724,16.326073901475375
official_pm10_minus_record_pm10,2,157,-103.94756510202951,-84.38518807641229,100.5675792938518,136.43981201309205
official_pm10_minus_record_pm10,3,271,-2.8110297626960525,1.2483740743413154,18.750739127864158,11.316711678498773
official_pm10_minus_record_pm10,4,1198,-2.328363340388463,1.2346451639146467,17.42684108187493,13.559722879190302
official_pm25_minus_record_pm25,1,446,-15.409132001691754,-5.940179853679094,26.843879209639287,15.63729529230252
official_pm25_minus_record_pm25,2,157,-112.56412561158365,-91.44419677077597,100.17906976938694,135.27291203655034
official_pm25_minus_record_pm25,3,271,-9.595900611404538,-4.2316152731493695,18.56298222081002,10.978555729366533
official_pm25_minus_record_pm25,4,1198,-9.800483540722354,-4.830558251111031,16.751715871355085,12.53219491635335
abs_pm10_gap,1,446,15.577243997748326,7.696609995077158,22.94751342640683,14.060405929378295
abs_pm10_gap,2,157,105.70572562289564,84.38518807641229,98.7179510838983,131.6831731785961
abs_pm10_gap,3,271,10.508273561895257,5.976787640610745,15.781897633565876,8.314752173590925
abs_pm10_gap,4,1198,10.907554558757875,6.7805684968209725,13.78917399576599,10.160485203708525
abs_pm25_gap,1,446,16.762856731121147,7.184537651074102,26.020027561076326,13.769701574171668
abs_pm25_gap,2,157,112.89039651267473,91.44419677077597,99.81125572685255,135.27291203655034
abs_pm25_gap,3,271,11.026565454729035,4.8061507160779655,17.750506239165105,9.444526591765406
abs_pm25_gap,4,1198,11.38165342691254,6.217408490014655,15.720287132753958,11.002878867214408
official_pm_total,1,446,29.700224215246635,27.2,9.831056078919373,11.649999999999999
official_pm_total,2,157,30.49044585987261,30.299999999999997,8.089804729753382,11.899999999999999
official_pm_total,3,271,27.75756457564576,26.9,9.824700025958734,11.699999999999996
official_pm_total,4,1198,27.094490818030046,24.6,10.270021515851818,10.599999999999998
record_pm_total,1,446,51.66579763567051,31.63026555833674,53.61471585045416,31.821675334281096
record_pm_total,2,157,247.00213657348576,200.08839354155194,200.81273912672768,258.34582407310063
record_pm_total,3,271,40.164494949746356,25.993314042810873,38.21081606620659,26.61291532810767
record_pm_total,4,1198,39.22333769914086,28.25893494039723,32.70950149538122,23.111501213656034
capture_year,1,446,2025.0807174887893,2025.0,0.27240076320156836,0.0
capture_year,2,157,2025.216560509554,2025.0,0.41190054048980235,0.0
capture_year,3,271,2025.1033210332102,2025.0,0.3043777214361812,0.0
capture_year,4,1198,2025.1076794657763,2025.0,0.30997515775691736,0.0
capture_month,1,446,3.4730941704035874,3.0,1.1454502806285505,1.0
capture_month,2,157,3.4012738853503186,3.0,1.0934656679681496,1.0
capture_month,3,271,4.084870848708487,3.0,2.733587704114772,1.0
capture_month,4,1198,3.141068447412354,3.0,1.1021149164846606,1.0
capture_dayofyear,1,446,91.23094170403587,86.0,32.28006691041696,30.5
capture_dayofyear,2,157,86.21019108280255,84.0,32.16874929451996,31.0
capture_dayofyear,3,271,110.46863468634686,84.0,86.6395911689022,21.0
capture_dayofyear,4,1198,81.1627712854758,79.0,31.8717072946509,25.0
capture_weekday,1,446,2.190582959641256,2.0,1.6598668489135453,3.0
capture_weekday,2,157,2.2229299363057327,2.0,1.5825430075948195,2.0
capture_weekday,3,271,2.6715867158671585,3.0,1.613791137841666,3.0
capture_weekday,4,1198,2.1853088480801337,2.0,1.491450716082392,2.0
