feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46
feret_iqr,0.508414642517225,0.07468531750648615,0.433191048825194,-0.010995796578059781,0.06448262628534045,0.1255064318631446,0.002638770235789094,-0.03818407511524986,0.09927890781911725,-0.04016529341118148,-0.004805073192866774,0.04894362007563687,0.005488535573404257,-0.11903098773683682,0.024311638288472187,-0.050159211104380916,0.04083467246962304,0.03912293323925699,0.055444677464179366,0.16996518832878185,-0.06050510582040329,0.04235742645979986,0.023884846106003898,-0.047056551062603376,0.06866358249128617,-0.03824869892703661,0.02211187783737031,-0.07293259931739839,-0.11582669667558439,-0.0786469133347705,0.012509262606459744,-0.02312259137201692,0.1488524446733703,0.07575783229605121,0.01954919950541984,-0.04615260358683123,-0.0218174287163836,0.04253632341631752,-0.02926297237900178,0.0033545758919138946,-0.045242059661871586,-0.06846590638399014,-0.00028559226298009504,0.0001799201566364989,-1.966924304767399e-22,-1.2974896782781987e-25
feret_p90,0.665979065101418,0.06874498217874281,0.3039087545001176,-0.014347227144989181,0.03259381299088096,0.1272604545555373,0.01040737788741648,-0.020345267674686723,0.10179083412615032,-0.024867400973545027,0.03737578038988179,0.008464943611018745,0.009999924372993444,-0.1019822123862614,0.050081517975362796,-0.02411191780456681,0.05276143431417035,0.0601787191820115,0.08926557621025663,0.1071527243277278,-0.007159848197902738,0.034825278803907414,0.011549392466501454,-0.04188071537539583,0.047971103311321456,-0.04154218682750558,0.03201695282147542,-0.12081778055736421,-0.09510095433937242,-0.01852491857128642,-0.044364899290604144,0.02558796325008632,-0.06837675405296413,-0.023217481115924702,0.02103333687551011,0.1592244670714394,0.07766932287468745,-0.035063634422514034,-0.03092060712384893,-0.010752602086110457,0.08462099040624896,-0.0019301229410643166,-0.0005751237386333841,2.8759591275650874e-05,2.7220801665666686e-23,2.829172403889346e-25
eccentricity_iqr,-0.942955582521601,-0.7211326237429949,1.2316293764315775,-0.23219272691489795,-0.12122069921871086,-0.001381740391050751,-0.07008494091640474,-0.15123490170941625,0.04624402408919142,-0.10905704915828245,-0.2894161077624559,-0.010852727203832561,-0.03642634726700156,-0.10002959511434208,-0.03213943630320312,0.029287832392023393,0.09187242129802266,-0.1696918172062685,0.09065302981920781,-0.006667380855516883,-0.0948055182805421,-0.05891233620261376,-0.06485963093267712,0.10460983953700576,0.06960897658455127,0.012857580954657579,0.052792133191652574,0.06326848548914688,0.028112051215484022,0.0189851924024132,0.007339522240500032,-0.016877279078974867,-0.044980544789675274,-0.017365265180813293,0.005660897658806985,0.02566727458900677,0.012766806050735602,-0.007034424884348893,-0.00016474002205551423,0.003368391387841844,-0.016997273622282087,-0.0037098009744094577,-0.00022020833361478448,-2.6815463008513115e-05,2.6542667190673567e-24,-4.741820583624024e-26
eccentricity_p90,-0.4001960987384131,-0.259386036884886,0.33121361113870296,-0.05287938565268868,-0.036263676758364685,0.06922006177810891,0.02668087266587642,0.09546845079583305,0.1636876981275816,-0.03466794605987436,0.5692074386849757,-0.17170259831722,-0.062250256315769935,0.15599124385641888,0.04066442250126245,0.1841647213573959,-0.06231970586245117,0.15897991576293194,-0.2949482799483338,0.12705453706713776,0.08457957422198681,-0.03394481879897248,0.038884578842751524,-0.0051323623112260516,0.20855145556169044,-0.030840300991774094,0.06419843457797056,0.05980737434400026,0.029353495660613804,0.010297985214152476,0.0034027502797683157,-0.05157204511475106,0.011432538568421028,0.0030094469896205004,-0.02918066489752059,0.007845805108209297,0.0061199479797990316,-0.015029635433734775,-0.004844362212713791,-0.0017074460579537766,2.3500997640246075e-05,-0.0010022969417737369,-0.0001960423951244099,9.355787722068311e-05,-1.0584983277615527e-23,6.757950975241583e-27
circularity_median,0.2992952108796163,0.1747730624214758,0.08212055485756034,0.006774121442200404,0.056163610975921645,-0.03925590918305586,-0.015963730568959722,0.03126181151833945,-0.06457325673574567,0.04536306738116646,0.03640033217296126,0.021436489767278,-0.0022730522240603968,-0.00883151512129657,0.019003872735594465,-0.01398598735687905,-0.02123626919893412,0.0011002802893138777,-0.0038189664632675294,-0.05661264053912834,-0.018112435617324132,-0.041214437766992296,-0.03208106857687535,0.0758256123405268,0.08622936913964827,-0.008066637674883947,0.06143720782276865,0.03417597100817298,0.013005325117690036,0.02653744703988977,0.029966025155208343,-0.05888561900455525,-0.11746657770759986,-0.05048295840948888,0.05305138262581824,-0.04322719672782123,-0.014135108731834985,0.1712001689800131,-0.03964335850338868,0.0005052389351719251,0.05860126463172236,0.0010007628767361408,0.000893495288478402,-0.00040707091389766966,-4.796856672581293e-23,3.216129816365402e-25
circularity_iqr,0.06372856700030585,-0.0803660011838895,0.5553544927146657,-0.06468613617828156,0.023873062904101267,0.017245326638003097,0.04002204056815985,0.03620155108293493,-0.08526882395741545,0.06776588215956672,0.19177065958165043,-0.01181765596642228,0.05769008441385922,0.13111361248846232,-0.1690845350646714,-0.07168397472136294,-0.06213099026347701,-0.19509757315269075,-0.02326054912002411,0.06588002613948626,0.03468575229745707,0.10145149570754537,0.07549130171778388,-0.18262549976291878,-0.13746363182742716,-0.019004723731161664,-0.03138923185868319,-0.0860606672493926,0.01595473377623546,-0.1817301620481675,0.05098444101315129,-0.047275045202238894,-0.14632016361668432,-0.08846214597238385,-0.022290440748329775,-0.07123647700462896,-0.018689636474027313,-0.024220054378699764,0.006614026302346506,-0.0012420272444532336,0.011241096394101376,-0.010062156649465222,-0.0004454132492830902,-4.747115359881257e-05,-1.1182663908996917e-23,1.5062478678890268e-25
circularity_p90,0.11921268774833857,-0.041336474579316544,0.6661888969115428,-0.08431384459793208,-0.022599229608916784,0.0310213180743637,-0.09544724358227545,-0.12160982910100247,0.021450399576169392,0.01961144764419814,-0.2210261337713957,0.1500741215725384,-0.04393709786882888,-0.10980679646239658,0.23262927860380367,-0.10365727486840873,-0.17383453809363947,0.4194491448175034,-0.19888076180355263,-0.21148110019833052,0.15118369949521496,0.07342923086004025,0.09145202015872708,-0.09138638121266811,-0.09936298945437587,0.0209782277925166,-0.08061116952429102,0.012433087102781262,0.045428096799431064,0.01904367178680309,-0.021946802709286617,-0.03256916604873216,-0.007381380611651462,-0.018414410365349992,-0.012178645407266635,-0.0002645308544142692,0.0019854789297613007,0.006601666576201204,-0.011904351916703339,-9.974313498173634e-05,-0.0067764226077629205,-0.0011815053110832124,1.662995722751391e-05,4.104328052953053e-05,-1.3857330927167986e-23,-1.893451197995271e-26
mean_intensity_median,-0.24385290980021068,0.05024188190333071,-0.03202193418293321,0.018935574644899724,0.04275426490889761,-0.048577545246147505,-0.011430438392254931,-0.020360957220009093,-0.034502689525132586,0.039671897814839,-0.007911094962301853,0.04720662740059531,0.0031892355753358574,0.07027240148522094,-0.038308019314443685,-0.08988868592920411,-0.10229972729527582,0.01874112071354452,-0.03654491933350354,0.04814941927619438,0.01490938669615273,-0.017704358608372116,0.031104715524616987,-0.023650799243708675,0.010891683851395658,-0.027544926009010665,-0.0042383416584862105,0.07936371062417033,0.09370855581721167,-0.08744338869360921,0.05283918600671952,0.010452990117797883,0.0353141407108932,0.03652077647244629,0.26556997270301946,0.006728093592833282,0.018999211419421538,-0.037403182292192666,-0.014300004677457569,-0.002224617381465846,0.005511486736644489,0.0036466834406013973,-0.00010035620880451361,0.00032634638331780424,3.0670656876379713e-23,4.306172038232616e-26
mean_intensity_iqr,0.19846136831753583,0.25408318893763404,0.18169756934999698,-0.060651866804458665,0.002610520571350873,-0.2984906245846623,-0.06270574609992521,0.22446447933631256,-0.3752675170915336,0.04813386719800207,-0.11192530735321551,-0.08733364423444859,0.08810272021799445,-0.19448120740978855,0.08185108751383423,0.511526555527757,0.2462183489510077,-0.04835277607278875,-0.00795960369509977,0.037499158205924484,0.05434197292104833,0.15471426509813263,0.11580520853698655,-0.1233292359460152,0.03116815384071914,0.031228123396261194,-0.07281748424009606,0.061571589542103074,0.02348832078831588,0.040905821065420664,0.06688249650991668,0.008401514839115602,0.007379751086569529,0.005339623737617538,0.02387172371548591,0.00019456467964459816,0.0020007725400740307,-0.001088002620726487,-0.0008641469722605042,-0.0015907692608915587,0.006246071442241099,-0.001277022475607375,-0.0002875781090535229,8.533369550649696e-05,7.36782469320338e-25,4.876141416905414e-26
mean_intensity_p90,-0.41239695192024606,0.15985477589235442,0.06777290301689694,-0.04630662975210722,0.05601748881819689,-0.36768467697548574,-0.052822817298753565,0.14263523881083578,-0.4398072337123426,0.3164228612043152,-0.02024309381225433,0.1740722380034114,0.06999956118817528,-0.06164021889337848,0.14197142323843953,-0.09985526774652709,-0.02812735648445539,0.10599413546923539,-0.2406613054879031,0.3252680483558334,-0.2405622744487295,-0.09146142456051588,-0.13749798595680046,0.034971031800771116,-0.07516778220507328,-0.0045436749011934195,0.021454330449814287,-0.05088310431861433,0.005888318739365548,0.001561759179377253,-0.03921316630727644,0.016218409537232747,-0.013430270296886024,-0.006784429401606698,-0.02185607411768753,0.00731573331712164,-0.0015727645955370385,-0.00464784750762692,-0.004116079608589747,-0.0003448493575408852,0.0023334125126284796,-0.00042643773856798335,-0.00011962686027985279,3.2834943669177994e-05,1.666877647203756e-24,-1.4343234606574035e-26
