feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22
aspect_ratio_iqr,-0.24849194660866827,-0.19091425802856568,0.3645012575769334,-0.1644337471010669,0.00337156731100155,-0.059281275046576855,0.04121495317032883,0.05966371392666069,-0.05242287094322946,0.04684815261858713,0.0645068022364749,-0.014949897494024714,0.020448701849333163,-0.0018868747981857596,-0.17252343693724137,-0.0013475516108572446,0.011985989261017946,-0.09127326986412272,-0.019585847350979672,0.10593546629807518,-0.0943566545759923,0.03759497295498193
aspect_ratio_p90,0.17113775882097615,-0.10308561148352673,0.21955065166705573,-0.13571625957454578,0.1153030990535089,0.02402130344905496,0.16700708056987043,0.08254302968319989,-0.04213160345163638,0.047218280378319336,0.05152886808746837,0.11245942566389543,0.3699894729828826,0.004086516778871223,0.08692337253773873,0.008178865226746216,0.10055814583836566,-0.07173362061813214,-0.01120616321322436,-0.0228906563814933,0.019597167357418867,0.008034496525587626
feret_iqr,0.5502588336037686,0.2569780939269296,0.4014618823201983,-0.17621978993196794,-0.03230695128724276,0.02271712984691535,0.06508908960573184,0.1857530687150286,-0.128015220659297,0.07675275166036943,0.05225748722534988,-0.19688686082758208,0.003665605472811388,0.04212542223366867,-0.16736175341329695,-0.003878522786239092,0.037796654695717066,-0.052763151322914925,0.05367590191834722,-0.036871914934822655,0.026690689094317026,-0.06538171980102855
feret_p90,0.7045711041355863,0.19741377884119918,0.2584129361309172,-0.1184008110784577,-0.02955853486511785,0.03635308631313246,0.08116841435630434,0.18808173121189414,-0.1050647502492021,0.021390982396026454,0.052328459166398784,-0.13127982113472605,0.07780206680718625,0.08344597009331498,0.09314979704756034,-0.007542349151245377,-0.024710668048627017,0.17731688379372193,-0.05670624532331558,0.01017295672882258,-0.08366126282816247,-0.005026068016746018
eccentricity_iqr,-0.8381324043515178,-0.3948900780788298,1.4690056874535717,-0.1300430643699526,-0.2069912855245392,-0.2073736224262979,-0.09420873820910353,-0.14353379740669125,-0.15346499999227525,0.05473090504070641,-0.20156264500553184,0.01370262112724837,-0.015010601870402112,-0.015491015378063371,0.04820274567799725,-0.013953844952289097,0.003189558652703573,0.028774648656559165,-0.0048474003930378,-0.01211931323314431,0.01584251360121618,-0.00385786315661568
eccentricity_p90,-0.29433508921128576,-0.31817672384942175,0.37465643050310515,0.08123735536807791,0.6003171531154696,0.09179504717569385,0.3450495404241199,0.11996958026777016,0.32233765095919664,-0.02543716964298143,-0.20277305169421106,-0.10798864980103186,-0.022905613126580182,-0.05667785546692669,-0.009464229486139194,-0.03938684474663367,-0.021521787632695334,0.006887154619788939,-0.012501396492345433,-0.0035138745925273845,0.0008002772262051125,-0.00046062982990986983
circularity_median,0.28082782943167595,0.2279195236196655,0.02711228408255011,0.1049138380300001,0.0057690408664105046,0.049748065505764855,-0.052050812759874304,-0.014597514428267835,0.034785787009989286,-0.004287581839795875,-0.13899067935592263,-0.018129755799713043,0.00218781798212798,-0.011496230461525321,0.11567659208105717,0.032650288027851006,0.05946984940875451,-0.006374704748494387,0.18939284587880442,0.02964797156697374,-0.06735488153860934,0.0006994176284471531
circularity_iqr,0.07602101679109419,0.10276475880201061,0.5038583967603681,0.08952489739103144,0.1580046684519885,0.14142325858825125,0.16831377412589216,-0.17103594922828996,-0.0740850004352982,0.05935039899605862,0.2725781460677295,-0.07595843130262708,-0.14400773539216982,-0.017650794740112576,0.17347681575039955,0.12957207434900453,-0.017181241079526708,-0.0948067446270949,-0.02699099522713708,0.009411798622469315,-0.0077143871463105805,-0.01048981007985936
circularity_p90,0.11102573471775269,0.17841191633962805,0.6858362482279902,-0.10825813159768041,-0.10494393626469298,-0.03564420567945104,-0.31706193427680907,0.33728344513620484,0.3938721962927819,-0.1842352871303599,0.20915842813211455,0.07817807374248079,-0.011560223300145927,-0.08763560745312707,0.017591060831772958,0.00579518085460959,-0.016729859703821515,-0.001869409116310634,0.011289256511699453,-0.012253963001848623,-0.0014175334804675175,-0.001738932425604858
mean_intensity_median,-0.26838896893025077,0.06903090384544665,-0.0401292364513861,-0.022603111617485964,0.05236686490025442,0.08548059310088676,-0.04960273393513767,-0.015258116544828712,0.03679185058385689,0.019465457005291897,0.05145032192523841,-0.002741730998579822,-0.15283190717739095,-0.006468963385003678,0.006035821967602504,-0.07501504448438148,0.2751646652772151,0.03829952916961941,-0.04184764757283046,-0.010168477461547944,-0.01159989382177707,0.0028871696159233724
mean_intensity_iqr,0.16715500120828966,0.3308614354496487,0.12595200978237645,0.6238999456005536,-0.37779498170721604,-0.4150243741906235,0.47260395442795805,0.09574809423290152,0.029860560935418244,-0.1545024047609526,0.019633227132151317,0.0356512182710557,-0.02375141301273405,-0.02134572287549665,-0.01215392823022547,-0.008983987470099122,0.03030600728048219,-0.005031665915014298,-0.0035980164328209305,0.00202983827831518,-0.0030562264857490586,-0.0015526091610301028
mean_intensity_p90,-0.5415503181576592,0.24577850316519684,0.051603710321410166,0.4523640646654349,-0.22640105838032967,0.25894276386125026,-0.029544562376196813,0.1857388622683316,0.14596416847730986,0.5114556195311207,0.006225640681142348,0.028062495430106783,0.014335482118331034,0.009920565450855755,0.008242980514908073,-0.03302256033915437,-0.024648468983716365,-0.001018092817731278,-0.004748077781024004,0.0026531198880086725,-0.00024288564486768478,-0.0008313061998292674
