feature,random_forest_importance,logistic_abs_mean_coefficient
official_station_id=STA_ES2063A,0.0004070611363140131,0.091595516993013
official_station_id=STA_ES2125A,0.00040070213484604255,0.1239802253066804
official_station_id=STA_ES1601A,0.00040002687094229284,0.17365038726510315
official_station_id=STA_ES0805A,0.0003896600727962959,0.029003838769797934
official_station_id=STA_ES1496A,0.0003663358408544636,0.2251045902191765
official_station_id=STA_ES1611A,0.0003547218498412901,0.16202224839321222
official_station_id=STA_ES2158A,0.0003162191442724588,0.12057490217710896
official_station_id=STA_ES2128A,0.00030797717760401366,0.10745056856429973
official_station_id=STA_ES0120A,0.000286995399154773,0.10355359213463074
official_station_id=STA_ES2170A,0.00027371969851190263,0.1002903092488917
official_station_id=STA_ES1494A,0.00025746989463356864,0.14527932934597879
official_station_id=STA_ES1492A,0.0002508598311434642,0.053087002124909355
official_station_id=STA_ES0587A,0.00023748174754135705,0.09415230449647112
official_station_id=STA_ES2075A,0.00022818002670947597,0.03263461047234096
official_station_id=STA_ES2173A,0.00022486276413109332,0.10419535495477979
official_station_id=STA_ES2127A,0.00021479097158614064,0.06876352221050713
official_station_id=STA_ES1687A,0.00021216424829522998,0.13018618091844
official_station_id=STA_ES1941A,0.00019612582344339326,0.10083613152287751
official_station_id=STA_ES2015A,0.00019375782919757702,0.10923022245687182
official_station_id=STA_ES1985A,0.00018278573578925071,0.12841522172834696
official_station_id=STA_ES1594A,0.0001822376206700959,0.06866959249790865
official_station_id=STA_ES1564A,0.00017467210443897205,0.07729269581390284
official_station_id=STA_ES1834A,0.00017184160648904206,0.06827745194116351
official_station_id=STA_ES1741A,0.0001654303447903445,0.03278399791098735
official_station_id=STA_ES1258A,0.00016168342683768556,0.11656658550695422
official_station_id=STA_ES1160A,0.00014953029560390503,0.08297794467610493
official_station_id=STA_ES1038A,0.00014228784385556515,0.091920249832989
official_station_id=STA_ES0825A,0.00014147565804970523,0.06717856036962554
official_station_id=STA_ES1976A,0.00014104880162648718,0.08721348340839685
official_station_id=STA_ES1963A,0.00013214150206534566,0.03924399565092352
capture_season=summer,0.00011856228644009077,0.08510393598892368
official_station_id=STA_ES1627A,0.00011122034841947885,0.06325047469660158
official_station_id=STA_ES2150A,0.00011035063291157166,0.0766164523351622
official_station_id=STA_ES1137A,0.0001053854589828331,0.06578515355029153
official_station_id=STA_ES1918A,8.787140746172114e-05,0.081686729155116
official_station_id=STA_ES1037A,8.08960291618108e-05,0.10068787397700542
official_station_id=STA_ES2109A,6.993658721173132e-05,0.06719851896897004
official_station_id=STA_ES0824A,5.876809229068249e-05,0.05881114908773313
official_station_id=STA_ES1797A,4.551224230388064e-05,0.07584453928476624
official_station_id=STA_ES2005A,4.197434872678769e-05,0.04202436073458094
official_station_id=STA_ES1709A,4.0034981813942284e-05,0.06205591379636289
official_station_id=STA_ES2131A,3.767153053552769e-05,0.07340976725867514
official_station_id=STA_ES1713A,3.636874906438271e-05,0.0524070562334698
official_station_id=STA_ES1624A,3.483276249818072e-05,0.04876313840333041
official_station_id=STA_ES1443A,3.380336935427342e-05,0.06842879962300084
official_station_id=STA_ES1363A,3.366003711585092e-05,0.054556621797034986
official_station_id=STA_ES2136A,3.079189135735613e-05,0.06628327249202602
official_station_id=STA_ES2024A,2.5651722494172615e-05,0.03498113106335537
official_station_id=STA_ES2006A,1.6007828038548042e-05,0.017386237975916166
official_station_id=STA_ES1490A,1.5929683988173337e-05,0.047960740059338924
official_station_id=STA_ES1175A,1.4614190029403149e-05,0.05496439170611253
