sensor_id,latitude,longitude,total,transit,park,gas_station,parking,industrial,major_road_proxy,dominant_place_category,place_diversity_entropy,green_vs_traffic_ratio_500m
67f578f0fc34192f3731700b,37.6820244,-1.6846852,2,1,0,1,0,0,0,transit,1.0,0.0
67f942ddfc34192f3731731b,37.68205720174868,-1.6902992640413284,2,2,0,0,0,0,0,transit,0.0,0.0
67fe835fffdee468dfce0262,37.68210941754957,-1.685546952808572,3,2,0,1,0,0,0,transit,0.9182958340544896,0.0
67efd9e1fc34192f37316d55,37.6824756,-1.6839414,2,1,0,1,0,0,0,transit,1.0,0.0
67f943a8fc34192f3731731f,37.6825682,-1.6921417,1,1,0,0,0,0,0,transit,0.0,0.0
67fb7dd0fc34192f37317390,37.68264010038999,-1.6921150121337902,1,1,0,0,0,0,0,transit,0.0,0.0
67f3e3c3fc34192f37316e38,37.68434018457572,-1.6820444388338207,1,0,0,1,0,0,0,gas_station,0.0,0.0
67f11883fc34192f37316da0,37.68435451263149,-1.6820330394454874,1,0,0,1,0,0,0,gas_station,0.0,0.0
67eff012fc34192f37316d57,37.7062125,-1.6057632,0,0,0,0,0,0,0,,,
67fe92caffdee468dfce0266,37.727443211187186,-1.894036056527122,0,0,0,0,0,0,0,,,
67ff8c8cffdee468dfce0296,37.728087617226876,-1.8961093567175324,0,0,0,0,0,0,0,,,
682c754fffdee468dfce0822,37.841711346991296,-1.877496133567056,0,0,0,0,0,0,0,,,
68219ea4ffdee468dfce066c,37.843562630772084,-1.87426439178771,0,0,0,0,0,0,0,,,
682c7454ffdee468dfce0820,37.84437291953128,-1.8767326822090236,0,0,0,0,0,0,0,,,
68395c6e5893c116dcb58a63,37.8687642,-1.8343619,2,0,1,1,0,0,0,gas_station,1.0,1.0
68395b7a5893c116dcb58a61,37.868979,-1.8347849,2,0,1,1,0,0,0,gas_station,1.0,1.0
680f2a87ffdee468dfce03f5,37.87122544542935,-1.8356829785041828,1,0,0,1,0,0,0,gas_station,0.0,0.0
6811ea1affdee468dfce0449,37.87719562098861,-1.8371732836059484,0,0,0,0,0,0,0,,,
683826555893c116dcb58a33,37.88879602663781,-1.8631004724151623,0,0,0,0,0,0,0,,,
682c6d98ffdee468dfce081d,37.905311351582014,-1.7971214444549544,0,0,0,0,0,0,0,,,
67e31bd43ac225e471110871,37.93094801655004,-1.1620549312133766,5,1,0,1,3,0,0,parking,1.3709505944546687,0.0
683c7dcf5893c116dcb58ad2,37.9562762,-1.0939285,1,0,0,1,0,0,0,gas_station,0.0,0.0
682739afffdee468dfce077e,37.95715176483848,-1.0936996796085374,1,0,0,1,0,0,0,gas_station,0.0,0.0
