feature,random_forest_importance,logistic_abs_mean_coefficient
official_station_id=STA_ES0010R,0.0004851836844778037,0.18411181661492015
official_station_id=STA_ES2019A,0.00043771142404400274,0.1847264493613186
official_station_id=STA_ES2161A,0.0004287221817662009,0.11093736382788473
official_station_id=STA_ES1044A,0.00042710174275552374,0.09952268997563345
official_station_id=STA_ES1577A,0.00041668157048907787,0.06832770129692428
official_station_id=STA_ES1673A,0.00041426925597606135,0.07407267876403575
official_station_id=STA_ES1353A,0.0004140181074697596,0.12316718129978009
official_station_id=STA_ES1358A,0.0004123231891586158,0.08798425249126025
official_station_id=STA_ES1269A,0.00039445743044230514,0.13354354279989078
official_station_id=STA_ES2063A,0.0003916068130646906,0.11925106616023562
official_station_id=STA_ES1494A,0.0003845814237830428,0.12559680532814033
official_station_id=STA_ES1613A,0.00038410669491993393,0.11067645271793426
official_station_id=STA_ES1442A,0.00038075853766233276,0.10376118943252444
official_station_id=STA_ES1038A,0.00036432501994428996,0.1329548434940671
official_station_id=STA_ES2132A,0.00035428183360075485,0.054485004653770555
official_station_id=STA_ES2136A,0.00033100279906644387,0.10778049532285824
official_station_id=STA_ES1713A,0.0003183969004638104,0.08696386864072635
official_station_id=STA_ES1529A,0.0003078897919010632,0.08828965636185093
official_station_id=STA_ES1417A,0.00027475506439004544,0.0931565266787598
official_station_id=STA_ES1687A,0.0002712065523562216,0.11525827953444322
official_station_id=STA_ES1601A,0.00026494946743542517,0.15196291816898583
official_station_id=STA_ES2128A,0.0002629409388515335,0.11217586257933652
official_station_id=STA_ES1611A,0.0002561089554955934,0.14786384755291157
official_station_id=STA_ES1532A,0.0002493797155564173,0.06088768847400297
official_station_id=STA_ES2075A,0.00023539871718291467,0.07075350990493147
official_station_id=STA_ES2125A,0.0002349126724461105,0.11627970849810568
official_station_id=STA_ES1963A,0.00023448860207128934,0.1322543499835558
official_station_id=STA_ES2123A,0.00022805118086332679,0.13489727092656922
official_station_id=STA_ES2064A,0.00021654262042709142,0.07265000933078286
official_station_id=STA_ES2170A,0.00019799092719776504,0.07411458555775567
official_station_id=STA_ES1490A,0.00019644558706152947,0.10139113409204753
official_station_id=STA_ES0120A,0.0001673939646143946,0.07411212775968268
official_station_id=STA_ES2158A,0.00016495854144381281,0.1056751812063522
official_station_id=STA_ES1985A,0.00015996855134426305,0.1062426124538289
official_station_id=STA_ES1594A,0.00015732587553362196,0.07709121863630533
official_station_id=STA_ES1349A,0.00015590508099753625,0.10460245730342606
capture_season=summer,0.00014575017357723098,0.08399796916332061
official_station_id=STA_ES1941A,0.00013986840045659133,0.09054850656810973
official_station_id=STA_ES2015A,0.00013694396967700115,0.09807994278817922
official_station_id=STA_ES2122A,0.0001313680495412287,0.055269885898594114
official_station_id=STA_ES2150A,0.0001285543495874419,0.19230367482181135
official_station_id=STA_ES1976A,0.00012630650417418097,0.058193790635092835
official_station_id=STA_ES1258A,0.00012080205896061712,0.09637809499359229
official_station_id=STA_ES0587A,0.00012037897313103263,0.13301005897894894
official_station_id=STA_ES1492A,0.00011999613275198307,0.0679575118678936
official_station_id=STA_ES1137A,0.00011846414979413868,0.04788614796242247
official_station_id=STA_ES1564A,9.475117414013051e-05,0.06160845336680752
official_station_id=STA_ES0825A,7.748106882370354e-05,0.052670340349589964
official_station_id=STA_ES0006R,7.232132707822933e-05,0.06309891306412009
official_station_id=STA_ES1918A,6.986527911684732e-05,0.08722017113364466
official_station_id=STA_ES1834A,6.671983344241755e-05,0.07814675660539933
