variable,cluster_label,category,observed_count,expected_count,pearson_residual
official_station_id,2,STA_ES1496A,0,3.216374269005848,-1.7934252894965679
official_station_id,1,STA_ES2127A,0,3.1228070175438596,-1.7671465750027244
capture_season,1,autumn,15,23.42105263157895,-1.7400558050282915
official_station_id,2,STA_ES1837A,6,3.0019493177387915,1.7303632884300868
official_station_id,3,STA_ES1673A,4,1.730214424951267,1.725579081823881
official_station_id,3,STA_ES2019A,0,2.9660818713450294,-1.7222316543790006
official_station_id,1,STA_ES1268A,45,34.87134502923977,1.715210504629035
official_station_id,2,STA_ES0006R,1,0.21442495126705652,1.6964849881161403
official_station_id,2,STA_ES1137A,1,0.21442495126705652,1.6964849881161403
official_station_id,2,STA_ES1627A,1,0.21442495126705652,1.6964849881161403
official_station_id,2,STA_ES1741A,1,0.21442495126705652,1.6964849881161403
official_station_id,2,STA_ES2109A,1,0.21442495126705652,1.6964849881161403
official_station_id,1,STA_ES2129A,9,15.614035087719298,-1.6738206406773397
official_pm25_band,4,low,179,202.65730994152048,-1.6618209243163589
official_station_id,1,STA_ES0110A,19,13.011695906432749,1.660110107599522
official_station_id,4,STA_ES2058A,1,4.5286549707602335,-1.658152914077201
official_station_id,2,STA_ES1346A,22,31.091617933723196,-1.6304951657233868
official_station_id,1,STA_ES2123A,0,2.6023391812865495,-1.6131767359116451
official_station_id,1,STA_ES2161A,0,2.6023391812865495,-1.6131767359116451
official_station_id,3,STA_ES1271A,0,2.5953216374269004,-1.6110001978357733
official_station_id,2,STA_ES2058A,11,6.861598440545809,1.579865007064151
official_station_id,1,STA_ES1358A,1,4.16374269005848,-1.5504551684535488
official_station_id,3,STA_ES1662A,2,5.684990253411306,-1.5455087965955134
official_station_id,3,STA_ES1894A,2,5.684990253411306,-1.5455087965955134
official_station_id,1,STA_ES1836A,51,41.11695906432749,1.5412748807071406
official_station_id,2,STA_ES1601A,0,2.358674463937622,-1.5357976637362167
official_station_id,2,STA_ES1633A,29,21.871345029239766,1.524297893022529
official_station_id,3,STA_ES0587A,1,0.24717348927875243,1.5142373704937704
official_station_id,3,STA_ES1349A,1,0.24717348927875243,1.5142373704937704
official_station_id,2,STA_ES1613A,5,2.573099415204678,1.5129469607734995
official_station_id,3,STA_ES1578A,2,5.56140350877193,-1.5101809199497032
official_station_id,1,STA_ES1496A,12,7.807017543859649,1.5006536456105946
official_station_id,4,STA_ES1598A,3,6.934502923976608,-1.4941087343785533
official_station_id,1,STA_ES0805A,6,10.929824561403509,-1.4911621405134923
official_station_id,2,STA_ES2054A,3,6.861598440545809,-1.4741933956637223
official_pm10_band,3,low,256,233.57894736842104,1.4670305223953666
official_station_id,4,STA_ES1611A,0,2.1228070175438596,-1.456985592771548
official_station_id,3,STA_ES1353A,4,1.9773879142300195,1.4383568973214855
official_station_id,1,STA_ES1882A,20,14.573099415204679,1.4215950481818906
official_station_id,4,STA_ES1269A,0,1.9812865497076024,-1.4075818092415098
official_station_id,4,STA_ES1837A,0,1.9812865497076024,-1.4075818092415098
official_station_id,3,STA_ES2063A,0,1.9773879142300195,-1.406196257365955
official_station_id,1,STA_ES1569A,34,43.198830409356724,-1.3995764232804246
official_station_id,1,STA_ES1687A,7,4.16374269005848,1.3899644301293366
official_station_id,2,STA_ES0010R,0,1.9298245614035088,-1.3891812557774845
official_station_id,1,STA_ES2058A,11,16.65497076023392,-1.385665571067081
official_station_id,3,STA_ES1090A,0,1.8538011695906433,-1.3615436715693856
official_station_id,3,STA_ES1496A,0,1.8538011695906433,-1.3615436715693856
official_station_id,3,STA_ES1611A,0,1.8538011695906433,-1.3615436715693856
official_station_id,1,STA_ES2103A,76,65.05847953216374,1.356518504669972
official_station_id,4,STA_ES1037A,0,1.839766081871345,-1.3563797705183254
official_station_id,4,STA_ES0587A,1,0.2830409356725146,1.347627094901325
official_station_id,4,STA_ES1349A,1,0.2830409356725146,1.347627094901325
official_station_id,4,STA_ES2150A,1,0.2830409356725146,1.347627094901325
capture_season,4,summer,1,0.2830409356725146,1.347627094901325
official_station_id,2,STA_ES1174A,4,7.719298245614035,-1.3386655737492124
official_station_id,4,STA_ES1577A,3,1.4152046783625731,1.3321819735283833
official_station_id,3,STA_ES1269A,0,1.730214424951267,-1.315376153406799
official_station_id,3,STA_ES1837A,0,1.730214424951267,-1.315376153406799
official_station_id,2,STA_ES2063A,1,3.4307992202729043,-1.3123553226928206
official_station_id,2,STA_ES1038A,0,1.7153996101364521,-1.3097326483433374
official_station_id,2,STA_ES1494A,0,1.7153996101364521,-1.3097326483433374
official_station_id,2,STA_ES1595A,0,1.7153996101364521,-1.3097326483433374
official_station_id,2,STA_ES1650A,0,1.7153996101364521,-1.3097326483433374
official_station_id,2,STA_ES1687A,0,1.7153996101364521,-1.3097326483433374
official_station_id,2,STA_ES1985A,0,1.7153996101364521,-1.3097326483433374
official_station_id,4,STA_ES2019A,1,3.3964912280701753,-1.300350997105582
station_distance_band,2,under_1km,198,180.54580896686159,1.2989906323078686
official_station_id,4,STA_ES1090A,4,2.1228070175438596,1.2884087473269061
official_station_id,3,STA_ES1417A,0,1.6066276803118908,-1.2675281773246267
capture_season,4,spring,257,278.0877192982456,-1.264557864402667
official_station_id,4,STA_ES2103A,23,17.690058479532162,1.2624817354816373
official_station_id,1,STA_ES1442A,0,1.5614035087719298,-1.2495613265350085
official_station_id,2,STA_ES2075A,2,0.8576998050682261,1.2334245695236454
official_station_id,2,STA_ES1044A,3,1.5009746588693957,1.2235516151651682
official_station_id,3,STA_ES1613A,0,1.4830409356725147,-1.2178016815855177
official_station_id,1,STA_ES1641A,1,3.1228070175438596,-1.2012625594119644
official_station_id,1,STA_ES1747A,1,3.1228070175438596,-1.2012625594119644
official_station_id,4,STA_ES1529A,0,1.4152046783625731,-1.1896237549589253
official_station_id,4,STA_ES2158A,0,1.4152046783625731,-1.1896237549589253
official_station_id,1,STA_ES1271A,7,10.929824561403509,-1.1886844109431398
official_station_id,2,STA_ES0805A,2,4.502923976608187,-1.1795065344964715
official_station_id,3,STA_ES1601A,0,1.3594541910331384,-1.1659563418212273
official_station_id,4,STA_ES1601A,3,1.5567251461988305,1.156759499263555
official_station_id,2,STA_ES1673A,1,3.0019493177387915,-1.1554506483860203
official_station_id,4,STA_ES2063A,4,2.2643274853801167,1.1534483897684613
official_station_id,1,STA_ES1160A,3,1.5614035087719298,1.1512812222007944
official_station_id,1,STA_ES2005A,3,1.5614035087719298,1.1512812222007944
official_station_id,1,STA_ES1611A,11,7.807017543859649,1.1427571694607876
official_station_id,2,STA_ES1258A,0,1.286549707602339,-1.1342617456312007
official_station_id,2,STA_ES1747A,0,1.286549707602339,-1.1342617456312007
official_station_id,2,STA_ES2127A,0,1.286549707602339,-1.1342617456312007
official_station_id,4,STA_ES1572A,4,6.934502923976608,-1.114363500165217
official_station_id,3,STA_ES1529A,0,1.2358674463937622,-1.111695752620186
official_station_id,3,STA_ES1577A,0,1.2358674463937622,-1.111695752620186
official_station_id,3,STA_ES2132A,0,1.2358674463937622,-1.111695752620186
station_distance_band,1,3_to_10km,517,492.3625730994152,1.1103319385248644
official_station_id,1,STA_ES1598A,20,25.502923976608187,-1.0896788582946082
station_distance_band,3,1_to_3km,63,54.99610136452242,1.079283724645266
official_station_id,2,STA_ES1037A,1,2.787524366471735,-1.0706379524437726
official_station_id,4,STA_ES1494A,0,1.1321637426900584,-1.0640318334946839
official_station_id,4,STA_ES1595A,0,1.1321637426900584,-1.0640318334946839
official_station_id,4,STA_ES1650A,0,1.1321637426900584,-1.0640318334946839
official_station_id,4,STA_ES1985A,0,1.1321637426900584,-1.0640318334946839
official_station_id,3,STA_ES0010R,0,1.1122807017543859,-1.0546471930244663
official_station_id,1,STA_ES1712A,15,11.450292397660819,1.0490212653849142
official_station_id,4,STA_ES1578A,9,6.368421052631579,1.0427987903207354
official_station_id,2,STA_ES2123A,0,1.0721247563352827,-1.0354345736623258
official_station_id,2,STA_ES2125A,0,1.0721247563352827,-1.0354345736623258
official_station_id,1,STA_ES1894A,29,23.941520467836256,1.033818103847152
official_station_id,3,STA_ES2170A,1,0.3707602339181287,1.0334026887902343
official_station_id,1,STA_ES0120A,0,1.04093567251462,-1.0202625507753482
official_station_id,1,STA_ES0587A,0,1.04093567251462,-1.0202625507753482
official_station_id,1,STA_ES1349A,0,1.04093567251462,-1.0202625507753482
official_station_id,1,STA_ES1594A,0,1.04093567251462,-1.0202625507753482
official_station_id,1,STA_ES2136A,0,1.04093567251462,-1.0202625507753482
official_station_id,1,STA_ES2150A,0,1.04093567251462,-1.0202625507753482
official_station_id,2,STA_ES0110A,3,5.360623781676413,-1.0195748489372929
official_station_id,2,STA_ES0905A,3,5.360623781676413,-1.0195748489372929
official_station_id,3,STA_ES1358A,2,0.9886939571150097,1.0170719158624653
official_station_id,4,STA_ES1044A,2,0.9906432748538012,1.0141122601914276
official_station_id,1,STA_ES1269A,10,7.286549707602339,1.0052194986706318
official_pm10_band,1,moderate,370,351.3157894736842,0.9968410582470286
official_station_id,3,STA_ES1494A,0,0.9886939571150097,-0.9943309092626105
official_station_id,3,STA_ES1532A,0,0.9886939571150097,-0.9943309092626105
official_station_id,3,STA_ES1687A,0,0.9886939571150097,-0.9943309092626105
official_station_id,3,STA_ES1985A,0,0.9886939571150097,-0.9943309092626105
official_station_id,2,STA_ES1532A,3,1.7153996101364521,0.9808111537025676
official_station_id,1,STA_ES2051A,3,5.204678362573099,-0.9663807974702139
official_station_id,4,STA_ES1836A,8,11.180116959064328,-0.9510862858322702
official_station_id,1,STA_ES1601A,8,5.7251461988304095,0.9507365719638816
official_station_id,1,STA_ES1363A,2,1.04093567251462,0.940017181613242
official_station_id,1,STA_ES1564A,2,1.04093567251462,0.940017181613242
official_station_id,1,STA_ES1797A,2,1.04093567251462,0.940017181613242
official_station_id,1,STA_ES2131A,2,1.04093567251462,0.940017181613242
official_station_id,3,STA_ES1044A,0,0.8651072124756335,-0.9301113978850241
official_station_id,2,STA_ES1713A,0,0.8576998050682261,-0.9261208371849896
official_station_id,2,STA_ES2015A,0,0.8576998050682261,-0.9261208371849896
official_station_id,1,STA_ES1353A,11,8.32748538011696,0.9261112294592059
official_station_id,1,STA_ES2063A,11,8.32748538011696,0.9261112294592059
official_station_id,4,STA_ES1641A,0,0.8491228070175438,-0.9214785982417302
official_station_id,4,STA_ES2127A,0,0.8491228070175438,-0.9214785982417302
official_station_id,2,STA_ES1163A,5,7.504873294346979,-0.9143533920294765
official_station_id,3,STA_ES1621A,5,7.415204678362573,-0.8869361772210668
official_station_id,4,STA_ES2170A,1,0.4245614035087719,0.8831383268408286
official_station_id,4,STA_ES1163A,3,4.953216374269005,-0.8776203933971395
official_station_id,2,STA_ES0825A,1,0.42884990253411304,0.8721628771922679
official_station_id,2,STA_ES1492A,1,0.42884990253411304,0.8721628771922679
official_station_id,2,STA_ES2150A,1,0.42884990253411304,0.8721628771922679
official_station_id,1,STA_ES2125A,4,2.6023391812865495,0.8664027862536702
official_station_id,1,STA_ES2128A,4,2.6023391812865495,0.8664027862536702
official_station_id,3,STA_ES1747A,0,0.7415204678362574,-0.8611158271895003
