gml_id,name,latitude,longitude
STA_ES1896A,SANTA MARGARIDA I ELS MONJOS (ELS MONJOS),41.320516155,1.664199192
STA_ES1899A,SANTA MARGARIDA I ELS MONJOS (LA RÀPITA),41.308402497,1.647339954
STA_ES0700A,BARBERÀ DEL VALLÈS (AJUNTAMENT),41.5156,2.125
STA_ES1551A,BARBERÀ DEL VALLÈS (MORAGUES - MONTSERRAT),41.512675808,2.125383709
STA_ES1222A,SANTA MARIA DE PALAUTORDERA (MARTÍ BOADA),41.691273195,2.440944864
STA_ES1817A,SANTA PERPÈTUA DE MOGODA (ONZE DE SETEMBRE),41.526705931,2.183795315
STA_ES0694A,SANT VICENÇ DELS HORTS (RIBOT - SANT MIQUEL),41.392157459,2.009802277
STA_ES1663A,SANT VICENÇ DELS HORTS (CEIP MARE DE DÉU DEL ROCIO),41.3988,2.0021
STA_ES2011A,SANT VICENÇ DELS HORTS (ÀLABA),41.400770767,1.999634718
STA_ES2192A,SANT VICENC DELS HORTS (CEIP MARE DE DEU DEL ROCIO),41.3988,2.0021
STA_ES1775A,SENTMENAT (AJUNTAMENT),41.6087,2.1359
STA_ES1908A,SITGES (VALLCARCA - DIPÒSIT AIGÜES),41.239068799,1.856563752
STA_ES1933A,SITGES (VALLCARCA),41.241,1.8569
STA_ES2033A,SITGES (VALLCARCA - OFICINES),41.242375047,1.859334489
STA_ES1220A,SÚRIA (CEIP FRANCESC MACIÀ),41.831,1.7553
STA_ES2191A,SURIA (CEIP FRANCESC MACIA),41.831,1.7553
STA_ES0395A,TERRASSA (MINA PÚBLICA D'AIGÜES),41.567823582,2.014598316
STA_ES1018A,TERRASSA (PARE ALEGRE),41.556115398,2.007401267
STA_ES2079A,TERRASSA (CASAL CA N'AURELL),41.6,2.0
STA_ES1842A,TIANA (AJUNTAMENT),41.481513156,2.26915353
STA_ES1887A,TONA (IES TONA),41.8466,2.223
STA_ES1923A,TONA (ZONA ESPORTIVA),41.846034209,2.217575622
STA_ES1642A,VIC (ESTADI),41.9356664,2.238568301
STA_ES1874A,VIC (CENTRE CÍVIC SANTA ANNA),41.919593952,2.257149921
STA_ES2087A,VIC (MASFERRER),41.929283,2.257302
STA_ES1903A,VILADECANS (ATRIUM),41.313475208,2.013824628
STA_ES2035A,VILANOVA DEL CAMÍ (HORTS),41.567703441,1.637614343
STA_ES1815A,VILAFRANCA DEL PENEDÈS (ZONA ESPORTIVA),41.346823038,1.686575492
STA_ES1555A,VILANOVA I LA GELTRÚ (AJUNTAMENT),41.224091559,1.726292388
STA_ES1339A,VILANOVA I LA GELTRÚ (PL. DE LES DANSES DE VILANOVA),41.219036461,1.721248774
STA_ES1447A,VILANOVA I LA GELTRÚ (CENTRE CÍVIC TACÓ),41.23429,1.72692
STA_ES1986A,ARANDA DE DUERO 2,41.66555555,-3.68888888
STA_ES1160A,BURGOS 1,42.3508,-3.6756
STA_ES1443A,BURGOS 4,42.33611,-3.63611
STA_ES2174A,BURGOS 6,42.3477,-3.6878
STA_ES1987A,MEDINA DE POMAR,42.9519,-3.4753
STA_ES1163A,MIRANDA DE EBRO 1,42.68444444,-2.9175
STA_ES1346A,MIRANDA DE EBRO 2,42.68805555,-2.94055555
STA_ES2151A,SALAS DE LOS INFANTES,42.02331,-3.28726
STA_ES1615A,CÁCERES,39.483799,-6.342428
STA_ES1997A,PLASENCIA,40.043737,-6.084812
STA_ES1616A,MONFRAGÜE,39.843747,-5.943008
STA_ES1875A,ALGAR,36.6496,-5.6614
STA_ES1637A,E4:RINCONCILLO,36.1617,-5.4426
STA_ES1664A,ALGECIRAS EPS,36.13623,-5.45343
STA_ES1821A,ARCOS,36.73975,-5.74372
STA_ES1876A,JEDULA,36.7417,-5.9211
STA_ES0712A,LOS BARRIOS,36.17538,-5.48083
STA_ES0629A,COLEGIO (S1),36.18562,-5.48893
STA_ES0633A,PALMONES (S5),36.1747,-5.43277
STA_ES1076A,CORTIJILLOS,36.19048,-5.43576
STA_ES1648A,E2: ALCORNOCALES,36.23386,-5.6635
STA_ES1479A,AVDA. MARCONI,36.50602,-6.26857
STA_ES1620A,CARTUJA,36.66086,-6.11449
STA_ES1781A,JEREZ-CHAPMN,36.68855,-6.11724
STA_ES1072A,LA LÍNEA,36.15937,-5.34836
STA_ES1634A,E7:EL ZABAL,36.17315,-5.34194
STA_ES1822A,PRADO REY,36.79449,-5.53162
STA_ES1516A,RIO SAN PEDRO,36.52283,-6.22517
STA_ES1593A,SAN FERNANDO,36.46059,-6.20307
STA_ES0634A,SAN ROQUE (S6),36.21204,-5.43027
STA_ES1169A,CARTEYA (S9),36.20879,-5.39138
STA_ES0556A,CAMPAMENTO,36.17943,-5.37697
STA_ES0557A,ECONOMATO,36.1862,-5.3808
STA_ES0893A,GUADARRANQUE,36.1821,-5.41141
STA_ES0894A,MADREVIEJA,36.20442,-5.40471
STA_ES1074A,HOSTELERÍA,36.20388,-5.38371
STA_ES1925A,PUENTE MAYORGA,36.1801,-5.3825
STA_ES1621A,L'ALCORA-PM,40.06861111,-0.20638888
STA_ES1685A,ALCORA,40.05194444,-0.18972222
STA_ES1877A,ALMASSORA-C. P. OCHANDO,39.94527777,-0.05638888
STA_ES1687A,BENICASSIM,40.06222222,0.07277777
STA_ES1688A,BURRIANA,39.89222222,-0.065
STA_ES1797A,BURRIANA RESIDENCIA,39.895,-0.08777777
STA_ES1386A,CASTELLÓ-PENYETA,40.01277777,-0.05722222
STA_ES1428A,CASTELLÓ-ERMITA,39.95916666,-0.03611111
STA_ES1445A,CASTELLÓ-GRAU,39.98194444,0.01055555
STA_ES1834A,CASTELLÓ-PATRONAT D'ESPORTS,39.98888888,-0.02611111
STA_ES1916A,CASTELLÓ - ITC,39.99583333,-0.065
STA_ES2146A,CASTELLO CEIP LA MARINA,39.9694,0.0089
STA_ES1689A,CIRAT,40.05416666,-0.46833333
STA_ES1441A,MORELLA,40.63722222,-0.09111111
STA_ES1387A,ONDA,39.96277777,-0.23333333
STA_ES1437A,CORATXAR,40.69166666,0.08472222
STA_ES1542A,SANT JORDI,40.55472222,0.37277777
STA_ES1690A,TORRE ENDOMENECH,40.26944444,-0.07888888
STA_ES1918A,VALL D'ALBA PM,40.175,-0.03444444
STA_ES1969A,LA VALL D'UIXÓ,39.82361111,-0.24444444
STA_ES1435A,VILAFRANCA,40.41666666,-0.24916666
STA_ES1622A,VILA-REAL-PM,39.94166666,-0.10583333
STA_ES2036A,VINARÒS PLANTA,40.54611,0.425
STA_ES2037A,VINARÒS PLATAFORMA,40.38333,0.70917
STA_ES1691A,VIVER,39.93055555,-0.60333333
STA_ES1543A,ZORITA,40.735,-0.16944444
STA_ES1857A,CIUDAD REAL,38.9939,-3.9378
STA_ES2185A,MANZANARES,38.9957,-3.3588
STA_ES1278A,CALLE ANCHA,38.6893,-4.1115
STA_ES1279A,CAMPO DE FÚTBOL,38.682,-4.0886
STA_ES1277A,INSTITUTO Nº 3,38.6807,-4.1083
STA_ES1365A,BARRIO 630,38.7027,-4.112
STA_ES2134A,RAMPAS MECÁNICAS,38.69,-4.1134
STA_ES2135A,ALMACÉN MUNICIPAL,38.6791,-4.1078
STA_ES1800A,ASOMADILLA,37.90274,-4.77958
STA_ES1799A,LEPANTO,37.89261,-4.76234
STA_ES1993A,PARQUE JOYERO,37.87522,-4.81583
STA_ES2047A,AVDA. AL-NASIR,37.8926,-4.7801
STA_ES0926A,POBLADO,38.1081,-4.9268
STA_ES1972A,OBEJO,38.1325,-4.8017
STA_ES1971A,VILLAHARTA,38.1379,-4.904
STA_ES2062A,SABÓN,43.3242,-8.5019
STA_ES1235A,ARTEIXO,43.3075,-8.4919
STA_ES1659A,LAÑAS,43.2953,-8.5189
STA_ES1467A,SORRIZO,43.3047,-8.5717
STA_ES1234A,PASTORIZA-REPSOL,43.3353,-8.472
STA_ES1907A,CENTRO CIVICO,43.3023,-8.506
STA_ES1981A,PLAZA PASTORIZA,43.3472,-8.4672
STA_ES2086A,SABÓN-EMBALSE,43.3223,-8.4997
STA_ES2140A,PARQUE DA CEGA,43.34305,-8.44914
