candidate_id,method,feature_space,k,selection_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,repeat_mean_ari,bootstrap_mean_ari,smallest_cluster_fraction,noise_fraction,cluster_entropy,eligible_for_final_selection,exclusion_reasons
selected_features__ward__k-4,ward,selected_features,4,0.6546482206914452,0.29161830323084253,601.3262174648568,1.3041653495437309,1.0,0.936149023804295,0.10955165692007797,0.0,0.8669446593159567,false,bootstrap_instability
selected_features__kmeans__k-8,kmeans,selected_features,8,0.6442059796080538,0.3325707525615524,612.4249170001631,1.0854741579284555,0.9895529035477878,0.9816234865650851,0.012865497076023392,0.0,0.7293390846770811,false,tiny_cluster
selected_features__ward__k-5,ward,selected_features,5,0.6287790176317779,0.28028577106913943,588.044703227526,1.2164038072033174,1.0,0.93535993952433,0.029239766081871343,0.0,0.7990132192743907,false,bootstrap_instability
selected_features__fuzzy__k-2,fuzzy,selected_features,2,0.6286673582205369,0.2744921226988928,592.7559465552106,1.8977575699069196,1.0,0.9471513266401288,0.3454191033138402,0.0,0.9299102536342135,false,bootstrap_instability
pca_scores__gmm__k-3__covariance-full,gmm,pca_scores,3,0.6235062925796816,0.27648177505473115,621.9707116263766,1.7687848740730245,0.9466351086312852,0.9502698108938704,0.20974658869395713,0.0,0.8978183451339451,false,repeat_instability
selected_features__ward__k-7,ward,selected_features,7,0.620421160579579,0.310595934176131,576.2919240815042,1.1285122467214919,1.0,0.9376179537496807,0.0152046783625731,0.0,0.7305744236537994,false,"tiny_cluster,bootstrap_instability"
selected_features__ward__k-6,ward,selected_features,6,0.619239759305807,0.29179815705966927,572.5629496585153,1.1944312371415728,1.0,0.9294595507007111,0.023391812865497075,0.0,0.7550534002458319,false,bootstrap_instability
selected_features__ward__k-3,ward,selected_features,3,0.6176819893977797,0.25715919786064334,593.7858585225974,1.4649734824881182,1.0,0.9212400660922365,0.1621832358674464,0.0,0.8286844457917345,false,bootstrap_instability
pca_scores__ward__k-3,ward,pca_scores,3,0.6026543707847491,0.29166037455507654,674.78710096102,1.3192631282033747,1.0,0.7971518974429157,0.1543859649122807,0.0,0.8319898337849762,false,bootstrap_instability
selected_features__ward__k-8,ward,selected_features,8,0.5940227966375125,0.31883541632660073,552.5164385405446,1.1589305842668365,1.0,0.9103025497152839,0.0152046783625731,0.0,0.7180674399073604,false,"tiny_cluster,bootstrap_instability"
selected_features__ward__k-2,ward,selected_features,2,0.5796824699975608,0.3557971728018541,607.8805238510366,1.5027127471437465,1.0,0.8904964549034908,0.1621832358674464,0.0,0.6395070586595618,false,bootstrap_instability
