name,longitude,latitude
PLASENCIA,-6.084812,40.043737
MONFRAGÜE,-5.943008,39.843747
ALGAR,-5.6614,36.6496
E4:RINCONCILLO,-5.4426,36.1617
ALGECIRAS EPS,-5.45343,36.13623
ARCOS,-5.74372,36.73975
JEDULA,-5.9211,36.7417
LOS BARRIOS,-5.48083,36.17538
COLEGIO (S1),-5.48893,36.18562
PALMONES (S5),-5.43277,36.1747
CORTIJILLOS,-5.43576,36.19048
E2: ALCORNOCALES,-5.6635,36.23386
AVDA. MARCONI,-6.26857,36.50602
CARTUJA,-6.11449,36.66086
JEREZ-CHAPMN,-6.11724,36.68855
LA LÍNEA,-5.34836,36.15937
E7:EL ZABAL,-5.34194,36.17315
PRADO REY,-5.53162,36.79449
RIO SAN PEDRO,-6.22517,36.52283
SAN FERNANDO,-6.20307,36.46059
SAN ROQUE (S6),-5.43027,36.21204
CARTEYA (S9),-5.39138,36.20879
CAMPAMENTO,-5.37697,36.17943
ECONOMATO,-5.3808,36.1862
GUADARRANQUE,-5.41141,36.1821
MADREVIEJA,-5.40471,36.20442
HOSTELERÍA,-5.38371,36.20388
PUENTE MAYORGA,-5.3825,36.1801
L'ALCORA-PM,-0.20638888,40.06861111
ALCORA,-0.18972222,40.05194444
ALMASSORA-C. P. OCHANDO,-0.05638888,39.94527777
BENICASSIM,0.07277777,40.06222222
BURRIANA,-0.065,39.89222222
BURRIANA RESIDENCIA,-0.08777777,39.895
CASTELLÓ-PENYETA,-0.05722222,40.01277777
CASTELLÓ-ERMITA,-0.03611111,39.95916666
CASTELLÓ-GRAU,0.01055555,39.98194444
CASTELLÓ-PATRONAT D'ESPORTS,-0.02611111,39.98888888
CASTELLÓ - ITC,-0.065,39.99583333
CASTELLO CEIP LA MARINA,0.0089,39.9694
CIRAT,-0.46833333,40.05416666
MORELLA,-0.09111111,40.63722222
ONDA,-0.23333333,39.96277777
CORATXAR,0.08472222,40.69166666
SANT JORDI,0.37277777,40.55472222
TORRE ENDOMENECH,-0.07888888,40.26944444
VALL D'ALBA PM,-0.03444444,40.175
LA VALL D'UIXÓ,-0.24444444,39.82361111
VILAFRANCA,-0.24916666,40.41666666
VILA-REAL-PM,-0.10583333,39.94166666
VINARÒS PLANTA,0.425,40.54611
VINARÒS PLATAFORMA,0.70917,40.38333
VIVER,-0.60333333,39.93055555
ZORITA,-0.16944444,40.735
CIUDAD REAL,-3.9378,38.9939
MANZANARES,-3.3588,38.9957
CALLE ANCHA,-4.1115,38.6893
CAMPO DE FÚTBOL,-4.0886,38.682
INSTITUTO Nº 3,-4.1083,38.6807
BARRIO 630,-4.112,38.7027
RAMPAS MECÁNICAS,-4.1134,38.69
ALMACÉN MUNICIPAL,-4.1078,38.6791
